query_paper,top_papers_id_all,cosine_similarity,average_cosine_similarity
1,266,0.8720824122428894,0.2397418289665525
1,264,0.8669164180755615,0.2397418289665525
1,236,0.8527392148971558,0.2397418289665525
1,30,0.85028475522995,0.2397418289665525
1,29,0.8490200042724609,0.2397418289665525
1,260,0.8470155000686646,0.2397418289665525
1,91,0.8439064025878906,0.2397418289665525
1,233,0.8314083814620972,0.2397418289665525
1,235,0.8292962312698364,0.2397418289665525
1,24,0.8257246017456055,0.2397418289665525
1,167,0.8196271061897278,0.2397418289665525
1,166,0.8195985555648804,0.2397418289665525
1,162,0.8170474767684937,0.2397418289665525
1,25,0.8161351680755615,0.2397418289665525
1,149,0.8134238719940186,0.2397418289665525
1,270,0.8080813884735107,0.2397418289665525
1,101,0.8065732717514038,0.2397418289665525
1,168,0.8031374216079712,0.2397418289665525
1,237,0.7972973585128784,0.2397418289665525
1,102,0.7901346683502197,0.2397418289665525
1,131,0.7841188311576843,0.2397418289665525
1,150,0.7829726934432983,0.2397418289665525
1,92,0.7672218084335327,0.2397418289665525
1,152,0.7665212750434875,0.2397418289665525
1,135,0.7650206685066223,0.2397418289665525
1,124,0.762287974357605,0.2397418289665525
1,141,0.7591054439544678,0.2397418289665525
1,194,0.75328129529953,0.2397418289665525
2,55,0.8248856663703918,0.1914717021767204
3,57,0.8262071013450623,0.2973454880941742
5,103,0.9769549369812012,0.2137539028651274
5,106,0.965342938899994,0.2137539028651274
5,247,0.9481691122055054,0.2137539028651274
5,183,0.9122033715248108,0.2137539028651274
5,171,0.9117991924285888,0.2137539028651274
5,72,0.8828959465026855,0.2137539028651274
5,300,0.8741105794906616,0.2137539028651274
5,219,0.8574660420417786,0.2137539028651274
5,118,0.8529573678970337,0.2137539028651274
5,284,0.8510257601737976,0.2137539028651274
5,228,0.8382923007011414,0.2137539028651274
6,271,0.9343959093093872,0.1414978481842556
6,7,0.8251792192459106,0.1414978481842556
7,96,0.9203196167945862,0.1120158655862041
7,73,0.8777039051055908,0.1120158655862041
7,271,0.85701584815979,0.1120158655862041
7,6,0.8251792192459106,0.1120158655862041
7,94,0.7759847640991211,0.1120158655862041
8,9,0.9794069528579712,0.2279079600323598
8,168,0.9339628219604492,0.2279079600323598
8,136,0.9307978749275208,0.2279079600323598
8,135,0.8985766172409058,0.2279079600323598
8,246,0.8947285413742065,0.2279079600323598
8,102,0.8912355899810791,0.2279079600323598
8,237,0.8867537379264832,0.2279079600323598
8,152,0.8600587248802185,0.2279079600323598
8,167,0.8552796840667725,0.2279079600323598
8,30,0.853401243686676,0.2279079600323598
8,29,0.8438050746917725,0.2279079600323598
8,235,0.8434993028640747,0.2279079600323598
8,276,0.8179105520248413,0.2279079600323598
8,166,0.8112888336181641,0.2279079600323598
8,266,0.8058268427848816,0.2279079600323598
8,181,0.8056716918945312,0.2279079600323598
